"id","application","benchmark","file","line","function","version"
"f58183b8-3f35-419d-807e-83e8661d3dd3","gap","GitApps","permutat.c","3405","FuncSmallestGeneratorPerm","default"
"45f798f8-0155-4c1a-a729-392483621301","445.gobmk","spec2006","owl.c","4414","owl_lively","v1.1"
"30d681f7-f3ac-4484-8cb1-d0a88edb4d0c","h264enc-lencod","mediabench","block.c","633","dct_luma_16x16","default"
"f58183b8-3f35-419d-807e-83e8661d3dd3","gap","GitApps","system.c","1499","SySetGapRootPath","default"
"566c5a00-db82-452c-8493-b0608aa83a58","LU","NPB","lu.c","689","erhs","2.3-OpenACC-C"
"e90955a5-6c8c-409d-af83-2c5778d5419e","256.bzip2","spec2000","bzip2.c","1253","generateMTFValues","v1.3"
"dad59000-ff7b-4eeb-8a88-9f07fb1e55b0","Branch","Kernels","func.c","11364","func26","SERIAL"
"061a23ae-0741-4f06-b402-032735e96352","301.apsi","spec2000","apsi.c","7722","topo","v1.3"
"26a39633-5b80-4207-a8ce-f1057a313a5b","SP","NPB","sp.c","2309","x_solve","2.3-OpenACC-C"
"26a39633-5b80-4207-a8ce-f1057a313a5b","SP","NPB","sp.c","2675","y_solve","2.3-OpenACC-C"
"57f5968f-a13f-48e5-8e7b-434ec8c25e2e","h264dec-ldecod","mediabench","macroblock.c","367","interpret_mb_mode_B","default"
"23155c0c-6959-43e3-957b-9e85593448bd","h264dec-lencod","mediabench","rdopt.c","3075","StoreNewMotionVectorsBlock8x8","default"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","regcomp.c","4061","S_regclass","v1.1"
"2ff98fa2-83b6-4295-a0da-b7824cb706bb","mpeg4dec","mediabench","mpegaudio.c","130","MPA_encode_init","default"
"f58183b8-3f35-419d-807e-83e8661d3dd3","gap","GitApps","vector.c","211","SumVectorVector","default"
"26166dea-4a8b-479a-a5d8-04b381eb077a","482.sphinx3","spec2006","new_fe.c","310","fe_end_utt","v1.1"
"0d2642ab-85bc-417b-9f83-bfbd62171a51","linear-algebra-kernels-atax","polybench","atax.c","76","kernel_atax","4.1"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","diffuse.c","153","diffusion","2.3-OpenACC-C"
"23155c0c-6959-43e3-957b-9e85593448bd","h264dec-lencod","mediabench","block.c","695","dct_luma_16x16","default"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","transfer.c","335","transfb","2.3-OpenACC-C"
"2ff98fa2-83b6-4295-a0da-b7824cb706bb","mpeg4dec","mediabench","mpegaudio.c","488","psycho_acoustic_model","default"
"81ab6c67-c756-4778-a5be-b95e3680cd22","svd3","cortexsuite","svd.c","158","svd","default"
"a46358ff-6bba-4292-b23b-c5f9e9cfa7e4","BT","NPB","bt.c","2171","compute_rhs","2.3-OpenACC-C"
"a80d64d6-a725-458a-95bf-7bf94361b0ea","default","TSVC","tsc.c","4828","s4112","default"
"1f71e097-a54f-4e21-aa18-60c01ec75f66","libsndfile","libraries","xi.c","363","xi_read_header","default"
"02f8f105-b887-414c-aeaf-335111c3e600","h264enc-ldecod","mediabench","ldecod.c","883","init_global_buffers","default"
"d7e46df7-7bec-43eb-bf80-be027ee95366","fourinarow","FreeBench","fourinarow.c","329","value","default"
